game_no,player_no,round_no,primal_type,kicker_type,kicker_len,combo_str,primal_str,current_str,up_str,down_str
6,1,7,1,0,0,2,2,33457JJAS,36TQKKKA22,479Q
6,2,7,1,0,0,S,S,479Q,33457JJA,36TQKKKA22
6,3,7,0,0,0,,,36TQKKKA22,479Q,33457JJA
6,1,8,0,0,0,,,33457JJA,36TQKKKA22,479Q
6,2,8,3,0,0,33,33,479Q,457JJA,36TQKKKA22
6,3,8,0,0,0,,,36TQKKKA22,479Q,457JJA
6,1,9,3,0,0,KK,KK,457JJA,36TQKA22,479Q
6,2,9,0,0,0,,,479Q,457JJA,36TQKA22
6,3,9,0,0,0,,,36TQKA22,479Q,457JJA
6,1,10,1,0,0,6,6,457JJA,3TQKA22,479Q
6,2,10,1,0,0,A,A,479Q,457JJ,3TQKA22
6,3,10,0,0,0,,,3TQKA22,479Q,457JJ
6,1,11,1,0,0,2,2,457JJ,3TQKA2,479Q
6,2,11,0,0,0,,,479Q,457JJ,3TQKA2
6,3,11,0,0,0,,,3TQKA2,479Q,457JJ
6,1,12,1,0,0,T,T,457JJ,3QKA2,479Q
6,2,12,1,0,0,J,J,479Q,457J,3QKA2
6,3,12,1,0,0,Q,Q,3QKA2,479,457J
6,1,13,1,0,0,K,K,457J,3QA2,479
6,2,13,0,0,0,,,479,457J,3QA2
6,3,13,0,0,0,,,3QA2,479,457J
6,1,14,1,0,0,3,3,457J,QA2,479
6,2,14,1,0,0,4,4,479,57J,QA2
6,3,14,1,0,0,7,7,QA2,49,57J
6,1,15,1,0,0,Q,Q,57J,A2,49
6,2,15,0,0,0,,,49,57J,A2
6,3,15,0,0,0,,,A2,49,57J
6,1,16,1,0,0,A,A,57J,2,49
7,1,1,2,0,0,789TJQ,789TJQ,3444556689TJJQK2S,5779KKKAAA222B,33345667889TTJQQA
7,2,1,2,0,0,89TJQK,89TJQK,33345667889TTJQQA,34445566J2S,5779KKKAAA222B
7,3,1,0,0,0,,,5779KKKAAA222B,33345667889TTJQQA,34445566J2S
7,1,2,0,0,0,,,34445566J2S,5779KKKAAA222B,33345667889TTJQQA
7,2,2,4,0,0,445566,445566,33345667889TTJQQA,34J2S,5779KKKAAA222B
7,3,2,0,0,0,,,5779KKKAAA222B,33345667889TTJQQA,34J2S
7,1,3,0,0,0,,,34J2S,5779KKKAAA222B,33345667889TTJQQA
7,2,3,1,0,0,2,2,33345667889TTJQQA,34JS,5779KKKAAA222B
7,3,3,0,0,0,,,5779KKKAAA222B,33345667889TTJQQA,34JS
7,1,4,1,0,0,B,B,34JS,5779KKKAAA222,33345667889TTJQQA
7,2,4,0,0,0,,,33345667889TTJQQA,34JS,5779KKKAAA222
7,3,4,0,0,0,,,5779KKKAAA222,33345667889TTJQQA,34JS
7,1,5,1,0,0,K,K,34JS,5779KKAAA222,33345667889TTJQQA
7,2,5,1,0,0,S,S,33345667889TTJQQA,34J,5779KKAAA222
7,3,5,0,0,0,,,5779KKAAA222,33345667889TTJQQA,34J
7,1,6,0,0,0,,,34J,5779KKAAA222,33345667889TTJQQA
7,2,6,1,0,0,3,3,33345667889TTJQQA,4J,5779KKAAA222
7,3,6,1,0,0,A,A,5779KKAAA222,33345667889TTJQQ,4J
7,1,7,1,0,0,2,2,4J,5779KKAAA22,33345667889TTJQQ
7,2,7,0,0,0,,,33345667889TTJQQ,4J,5779KKAAA22
7,3,7,0,0,0,,,5779KKAAA22,33345667889TTJQQ,4J
7,1,8,1,0,0,5,5,4J,779KKAAA22,33345667889TTJQQ
7,2,8,1,0,0,J,J,33345667889TTJQQ,4,779KKAAA22
7,3,8,1,0,0,Q,Q,779KKAAA22,33345667889TTJQ,4
7,1,9,1,0,0,K,K,4,779KAAA22,33345667889TTJQ
7,2,9,0,0,0,,,33345667889TTJQ,4,779KAAA22
7,3,9,0,0,0,,,779KAAA22,33345667889TTJQ,4
7,1,10,3,0,0,77,77,4,9KAAA22,33345667889TTJQ
7,2,10,0,0,0,,,33345667889TTJQ,4,9KAAA22
7,3,10,3,0,0,88,88,9KAAA22,333456679TTJQ,4
7,1,11,3,0,0,AA,AA,4,9KA22,333456679TTJQ
7,2,11,0,0,0,,,333456679TTJQ,4,9KA22
7,3,11,0,0,0,,,9KA22,333456679TTJQ,4
7,1,12,1,0,0,9,9,4,KA22,333456679TTJQ
7,2,12,0,0,0,,,333456679TTJQ,4,KA22
7,3,12,1,0,0,T,T,KA22,333456679TJQ,4
7,1,13,1,0,0,K,K,4,A22,333456679TJQ
7,2,13,0,0,0,,,333456679TJQ,4,A22
7,3,13,0,0,0,,,A22,333456679TJQ,4
7,1,14,1,0,0,A,A,4,22,333456679TJQ
8,1,1,9,2,1,33366,333,56678889TTJQKKA2S,45779JJQQKAA22B,3444557899TTJQKA2
8,2,1,9,2,1,66888,888,3444557899TTJQKA2,579TTJQKKA2S,45779JJQQKAA22B
8,3,1,0,0,0,,,45779JJQQKAA22B,3444557899TTJQKA2,579TTJQKKA2S
8,1,2,0,0,0,,,579TTJQKKA2S,45779JJQQKAA22B,3444557899TTJQKA2
8,2,2,1,0,0,5,5,3444557899TTJQKA2,79TTJQKKA2S,45779JJQQKAA22B
8,3,2,1,0,0,2,2,45779JJQQKAA22B,3444557899TTJQKA,79TTJQKKA2S
8,1,3,1,0,0,B,B,79TTJQKKA2S,45779JJQQKAA22,3444557899TTJQKA
8,2,3,0,0,0,,,3444557899TTJQKA,79TTJQKKA2S,45779JJQQKAA22
8,3,3,0,0,0,,,45779JJQQKAA22,3444557899TTJQKA,79TTJQKKA2S
8,1,4,3,0,0,77,77,79TTJQKKA2S,459JJQQKAA22,3444557899TTJQKA
8,2,4,3,0,0,KK,KK,3444557899TTJQKA,79TTJQA2S,459JJQQKAA22
8,3,4,0,0,0,,,459JJQQKAA22,3444557899TTJQKA,79TTJQA2S
8,1,5,3,0,0,AA,AA,79TTJQA2S,459JJQQK22,3444557899TTJQKA
8,2,5,0,0,0,,,3444557899TTJQKA,79TTJQA2S,459JJQQK22
8,3,5,0,0,0,,,459JJQQK22,3444557899TTJQKA,79TTJQA2S
8,1,6,1,0,0,4,4,79TTJQA2S,59JJQQK22,3444557899TTJQKA
8,2,6,1,0,0,7,7,3444557899TTJQKA,9TTJQA2S,59JJQQK22
